,sl no.,reviews
0,0,Naam Bade darshan chote
1,1,Quite unclean hotel with least maintenance
2,2,Average Experience
3,3,Needs Overhaul
4,4,"Overpriced Hotel,wrong 4 star rating."
5,5,An exorbitantly priced hotel with below average maintenance and services
6,6,This is an old palace but the upkeep and the sprawl+noise makes it unbearable
7,7,Dissapointed
8,8,A memorable stay in Mahadodhi 
9,9,Excellent
10,10,a lifetime experience
11,11,Good view and proximity to the beach
12,12,Best experience ever
13,13,A week in Mahodadhi palace.
14,14,Nice place to stay
15,15,Very Bad Experience 
16,16,One out of Five in value for money scale
17,17,excellent location but poorly maintained property
18,18,Poor quality than before 
19,19,Hopeless and pathetic visit
20,20,Great Location with Lot of Issues
21,21,Not at all value for money.I paid lot of money for booking but hotel was below average.
22,22,Cottage on the terrace
23,23,fantastic location
24,24,awsome location and best hotel
25,25,A Palace that needs a good spruce up
26,26,Mahododhi
27,27,Pathetic Hotel !!!
28,28,Can be a great property.......but very poorly maintained and poorly run !!!
29,29,The worst hotel I ever experienced.
30,30,Good hospitality
31,31,"Interesting place, good location."
32,32,Excellent Location 
33,33,A unique place to stay.
34,34,Heritage hotel : nice stay
35,35,"Excellent Location, Excellent Staff, Excellent Service"
36,36,Short Trip to Puri
37,37,our stay
38,38,Honeymoon Spot
39,39,Deceiving Look
40,40,A wonderful experience!
41,41,"Impressive staffs, service was excellent"
42,42,"""Poor food service experience"""
43,43,A wonderful characteristic hotel in buzzing Puri..
44,44,Gaa Restaurant is great.
45,45,Joke Hotel
46,46,Awesome Experience..
47,47,Only location is good..
48,48,Excellent for family holiday
49,49,Jagannath Visit
50,50,A stay with a different of experience!
51,51,Fabulous 
52,52,A great place to stay near Swargadwar
53,53,Mahodadhi Palace with beach view.
54,54,An interesting place
55,55,Great place to unwind
56,56,Best place to stay in Puri
57,57,nice cozy hotel
58,58,"Stayed 2 nights in December, noisy nights with DJ blaring"
59,59,Average Hotel
60,60,Memorable trip
61,61,Hospitality of staff is good!
62,62,"Nice Hotel, Good Location, family visit with comfort"
63,63,Dirty! Filthy! Yuck!
64,64,Shocking level of noise...
65,65,Wonderful vacation with family
66,66,Religious trip to jagannath temple
67,67,Flawed grandeur
68,68,Disappointing
69,69,A GREAT PLACE.
70,70,"good location, good staff, good rooms"
71,71,Good location but not a good bet...
72,72,Old and unmaintained
73,73,Best location with friendly staff
74,74,Nice Hotel
75,75,Good property.
76,76,My recent trip to Puri
77,77,Not Worth 
78,78,Erstwhile Royal Property Converted into a Heritage Hotel
79,79,Staying at Puri
80,80,Stay in vintage with facilities
81,81,Nice comfortable place
82,82,Good Heritage Property in Puri...
83,83,very good
84,84,Good time in Mahodadhi Palace
85,85,Thank you so much for our warm reception everytime
86,86,Excellent Location !!! Excellent Staff !!! Excellent Stay!!! Execellent Hotel !!!!
87,87,good hotel on beach front
88,88,The great food i ever had.....
89,89,Terrible
90,90,Not impressive as Heritage Hotel
91,91,Experience the Royal Palace Stay
92,92,Heritage Hotel with zero maintenance and low food quality
93,93,Royal Retreat
94,94,averagely good but could do best
95,95,Vintage property with good service on busy area
96,96,Had a remarkable stay there..!! Just awesome..!!
97,97,Great Weekend.....
98,98,Overpriced in all sense...
99,99,Yearly visit to Puri
100,100,Office Party.
101,101,Nice stay @ Fort Mahodadhi
102,102,Great place to stay
